disease,name,n_terms,ic_moved,informative_pairs,pairs_moved,mean_abs_dlin,max_abs_dlin
OMIM:601163,"Diaphragmatic defects, limb deficiencies, and ossification defects of skull",14,8,30,30,0.0028,0.024
OMIM:300908,"Hemolytic anemia, G6PD deficient (favism)",16,8,36,36,0.0028,0.027
OMIM:255100,Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency,15,12,18,18,0.0028,0.028
OMIM:120970,Cone-Rod dystrophy 2,14,9,91,91,0.0028,0.017
OMIM:601492,Mucopolysaccharidosis type IX,18,8,60,60,0.0027,0.015
OMIM:266200,Pyruvate kinase deficiency of red cells,16,7,32,32,0.0027,0.01
OMIM:621196,"Maturity-onset diabetes of the young, type 12",14,5,17,17,0.0027,0.013
OMIM:619323,Neurodevelopmental disorder with seizures and gingival overgrowth,18,13,64,64,0.0027,0.018
OMIM:613752,Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase,18,9,22,22,0.0027,0.009
OMIM:134600,Fanconi renotubular syndrome 1,16,10,57,57,0.0027,0.012
OMIM:601954,"Muscular dystrophy, limb-girdle, type 2G",16,9,85,85,0.0027,0.012
OMIM:620636,"Neurodegeneration, childhood-onset, with cerebellar ataxia and cognitive decline",16,14,72,72,0.0027,0.015
OMIM:619003,"Mitochondrial complex I deficiency, nuclear type 35",15,6,40,40,0.0027,0.039
