disease,name,database,n_raw_terms,n_retained_terms,n_missing_old,n_missing_new,n_obsolete,n_out_of_domain,n_ic_changed,n_pairs,n_informative_pairs,n_root_only_pairs,n_pairs_changed,n_pairs_abs_delta_gt_0.01,n_pairs_abs_delta_gt_0.1,mean_abs_dlin,max_abs_dlin,status
OMIM:274400,"Thyroid hormonogenesis, genetic defect in, 1",OMIM,9,9,0,0,0,0,7,36,4,32,4,0,0,0.001766,0.003550,RANKABLE
OMIM:118210,"Charcot-Marie-Tooth disease, axonal, type 2A1",OMIM,18,18,0,0,0,0,11,153,84,69,84,0,0,0.000973,0.002691,RANKABLE
OMIM:609634,"Migraine, familial hemiplegic, 3",OMIM,7,7,0,0,0,0,4,21,16,5,16,0,0,0.001331,0.001688,RANKABLE
OMIM:600176,"Pachygyria with impaired intellectual development, seizures, and arachnoid cysts",OMIM,8,8,0,0,0,0,6,28,21,7,21,0,0,0.001262,0.004372,RANKABLE
OMIM:614103,Lipedema,OMIM,2,2,0,0,0,0,1,1,0,1,0,0,0,,,NO_INFORMATIVE_PAIRS
OMIM:612572,Retinitis pigmentosa 46,OMIM,8,8,0,0,0,0,6,28,28,0,28,0,0,0.001638,0.002551,RANKABLE
OMIM:155310,Visceral myopathy 1,OMIM,19,19,0,0,0,0,9,171,97,74,97,33,0,0.008984,0.050940,RANKABLE
OMIM:239500,"Hyperprolinemia, type I",OMIM,18,18,0,0,0,0,13,153,73,80,73,0,0,0.001490,0.004703,RANKABLE
OMIM:614673,"Microcephaly 8, primary, autosomal recessive",OMIM,4,4,0,0,0,0,1,6,4,2,4,0,0,0.000708,0.001000,RANKABLE
OMIM:226350,Eosinophilic fasciitis,OMIM,1,1,0,0,0,0,0,0,0,0,0,0,0,,,TERM_ONLY
OMIM:601518,"Prostate cancer, hereditary, 1",OMIM,1,1,0,0,0,0,0,0,0,0,0,0,0,,,TERM_ONLY
OMIM:618049,"Parkinsonism-dystonia, infantile, 2",OMIM,29,29,0,0,0,0,15,406,148,258,148,0,0,0.001336,0.003756,RANKABLE
OMIM:193235,"Vitreoretinopathy, neovascular inflammatory",OMIM,9,9,0,0,0,0,5,36,36,0,36,0,0,0.003007,0.009240,RANKABLE
OMIM:609622,Short QT syndrome 3,OMIM,6,6,0,0,0,0,0,15,15,0,15,0,0,0.001285,0.001420,RANKABLE
OMIM:619431,Megacystis-microcolon-intestinal hypoperistalsis syndrome 5,OMIM,8,8,0,0,0,0,4,28,9,19,9,0,0,0.002672,0.004035,RANKABLE
OMIM:614115,"Cortical malformations, occipital",OMIM,7,7,0,0,0,0,7,21,15,6,15,0,0,0.001069,0.001681,RANKABLE
OMIM:614101,Plasma fibronectin deficiency,OMIM,1,1,0,0,0,0,0,0,0,0,0,0,0,,,TERM_ONLY
OMIM:617408,Diamond-Blackfan anemia 16,OMIM,3,3,0,0,0,0,3,3,1,2,1,0,0,0.000039,0.000039,RANKABLE
OMIM:166900,"Ovalocytosis, hereditary hemolytic",OMIM,2,2,0,0,0,0,2,1,1,0,1,0,0,0.000560,0.000560,RANKABLE
OMIM:609636,Alzheimer disease 10,OMIM,6,6,0,0,0,0,4,15,15,0,15,0,0,0.000818,0.001181,RANKABLE
OMIM:616716,"Rhizomelic chondrodysplasia punctata, type 5",OMIM,30,30,0,0,0,0,19,435,126,309,126,0,0,0.001611,0.004218,RANKABLE
OMIM:619425,Mitochondrial DNA depletion syndrome 16B (neuroophthalmic type),OMIM,13,13,0,0,0,0,10,78,32,46,32,0,0,0.001071,0.001677,RANKABLE
OMIM:619343,"Chromosome 1p36 deletion syndrome, proximal",OMIM,35,35,0,0,0,0,22,595,167,428,167,0,0,0.000710,0.002549,RANKABLE
OMIM:606263,Paget disease of bone 4,OMIM,4,4,0,0,0,0,3,6,1,5,1,0,0,0.001867,0.001867,RANKABLE
OMIM:613108,"Candidiasis, familial, 4",OMIM,2,2,0,0,0,0,1,1,1,0,1,1,0,0.061615,0.061615,RANKABLE
OMIM:263630,Polysyndactyly with cardiac malformation,OMIM,12,12,0,0,0,0,7,66,5,61,5,0,0,0.001359,0.002131,RANKABLE
OMIM:110100,"Blepharophimosis, epicanthus inversus, and ptosis",OMIM,24,24,0,0,0,0,11,276,63,213,63,0,0,0.000828,0.001733,RANKABLE
OMIM:608266,Parathyroid carcinoma,OMIM,3,3,0,0,0,0,1,3,1,2,1,0,0,0.000611,0.000611,RANKABLE
OMIM:607155,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5",OMIM,26,26,0,0,0,0,14,325,113,212,113,0,0,0.001338,0.009723,RANKABLE
OMIM:194200,Wolff-Parkinson-White syndrome,OMIM,10,10,0,0,0,0,3,45,45,0,45,0,0,0.001072,0.001481,RANKABLE
OMIM:618075,"Epilepsy, familial adult myoclonic, 7",OMIM,2,2,0,0,0,0,1,1,1,0,1,0,0,0.001650,0.001650,RANKABLE
OMIM:613120,Brugada syndrome 7,OMIM,5,5,0,0,0,0,2,10,10,0,10,0,0,0.000914,0.001171,RANKABLE
OMIM:614897,Hypogonadotropic hypogonadism 16 with or without anosmia,OMIM,15,15,0,0,0,0,5,105,35,70,35,0,0,0.001167,0.002650,RANKABLE
OMIM:615551,"Episodic pain syndrome, familial, 2",OMIM,1,1,0,0,0,0,0,0,0,0,0,0,0,,,TERM_ONLY
OMIM:615237,Congenital short bowel syndrome,OMIM,14,14,0,0,0,0,9,91,48,43,48,19,0,0.009510,0.026037,RANKABLE
OMIM:163850,"Noduli cutanei, multiple, with urinary tract abnormalities",OMIM,3,3,0,0,0,0,1,3,1,2,1,0,0,0.000579,0.000579,RANKABLE
OMIM:613646,"Methylmalonic aciduria, transient, due to transcobalamin receptor defect",OMIM,4,4,0,0,0,0,0,6,6,0,6,1,0,0.003723,0.011941,RANKABLE
OMIM:614129,Perrault syndrome 3,OMIM,10,10,0,0,0,0,4,45,14,31,14,0,0,0.001326,0.002510,RANKABLE
OMIM:159500,Myelinated optic nerve fibers,OMIM,1,1,0,0,0,0,1,0,0,0,0,0,0,,,TERM_ONLY
OMIM:621192,Craniofaciocardiohepatic syndrome,OMIM,108,108,0,0,0,0,50,5778,975,4803,975,23,4,0.002735,0.358486,RANKABLE
OMIM:618707,Neurodevelopmental disorder with absent language and variable seizures,OMIM,29,29,0,0,0,0,14,406,68,338,68,6,0,0.002858,0.019513,RANKABLE
OMIM:613652,C1q deficiency,OMIM,5,5,0,0,0,0,2,10,10,0,10,9,0,0.033617,0.052905,RANKABLE
OMIM:228355,Fetal iodine deficiency disorder,OMIM,6,6,0,0,0,0,3,15,2,13,2,0,0,0.001265,0.001483,RANKABLE
OMIM:102510,"ACROPECTOROVERTEBRAL DYSPLASIA, F-FORM OF",OMIM,13,13,0,0,0,0,7,78,56,22,56,0,0,0.001724,0.002997,RANKABLE
OMIM:208085,"Arthrogryposis, renal dysfunction, and cholestasis 1",OMIM,39,39,0,0,0,0,24,741,75,666,75,1,0,0.002207,0.015400,RANKABLE
OMIM:271220,"Spinal muscular atrophy, scapuloperoneal",OMIM,3,3,0,0,0,0,1,3,3,0,3,0,0,0.003990,0.009109,RANKABLE
OMIM:614883,Peroxisome biogenesis disorder 11A (Zellweger),OMIM,20,20,0,0,0,0,12,190,37,153,37,0,0,0.000733,0.001692,RANKABLE
OMIM:223200,"Disorganization, mouse, homolog of",OMIM,10,10,0,0,0,0,8,45,16,29,16,0,0,0.001665,0.002258,RANKABLE
OMIM:618061,Polycystic kidney disease 6 with or without polycystic liver disease,OMIM,7,7,0,0,0,0,3,21,6,15,6,0,0,0.000438,0.000583,RANKABLE
OMIM:617352,Mulchandani-Bhoj-Conlin syndrome,OMIM,18,18,0,0,0,0,13,153,30,123,30,0,0,0.001314,0.002145,RANKABLE
OMIM:620515,"Neurodevelopmental disorder with motor regression, progressive spastic paraplegia, and oromotor dysfunction",OMIM,13,13,0,0,0,0,11,78,56,22,56,13,0,0.004853,0.015621,RANKABLE
OMIM:614868,Immunodeficiency-110 with lymphoproliferation,OMIM,25,25,0,0,0,0,16,300,172,128,172,141,34,0.044853,0.170036,RANKABLE
OMIM:613861,Retinitis pigmentosa 59,OMIM,17,17,0,0,0,0,14,136,17,119,17,0,0,0.001403,0.004135,RANKABLE
OMIM:212750,"Celiac disease, susceptibility to, 1",OMIM,43,43,0,0,0,0,29,903,130,773,130,32,0,0.007043,0.052359,RANKABLE
OMIM:618920,"Arrhythmogenic right ventricular dysplasia, familial, 14",OMIM,7,7,0,0,0,0,4,21,15,6,15,1,0,0.003026,0.010481,RANKABLE
OMIM:185480,"Suprabulbar paresis, congenital",OMIM,7,7,0,0,0,0,6,21,12,9,12,0,0,0.001230,0.002019,RANKABLE
